Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-08-18 22:19 UTC | Channel Name: programming-chat | Channel ID: 741289136446636103 | Message ID: 745406480693461114 | Message Content: Who did then
Author Name: lotsorin | Author Nickname: Katy 🐥 | Author ID: 405498995520176140 | Sent At: 2020-08-18 22:19 UTC | Channel Name: programming-chat | Channel ID: 741289136446636103 | Message ID: 745406535336853625 | Message Content: Idk but it wasn't me 🤩
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-08-18 22:19 UTC | Channel Name: programming-chat | Channel ID: 741289136446636103 | Message ID: 745406564416094217 | Message Content: Ah nevermind
Author Name: lotsorin | Author Nickname: Katy 🐥 | Author ID: 405498995520176140 | Sent At: 2020-08-18 22:19 UTC | Channel Name: programming-chat | Channel ID: 741289136446636103 | Message ID: 745406603074863225 | Message Content: lol
Author Name: lotsorin | Author Nickname: Katy 🐥 | Author ID: 405498995520176140 | Sent At: 2020-08-18 22:20 UTC | Channel Name: programming-chat | Channel ID: 741289136446636103 | Message ID: 745406711673913404 | Message Content: No I know what it is
Author Name: lotsorin | Author Nickname: Katy 🐥 | Author ID: 405498995520176140 | Sent At: 2020-08-18 22:20 UTC | Channel Name: programming-chat | Channel ID: 741289136446636103 | Message ID: 745406772080017578 | Message Content: Fine I will click it
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-08-18 22:20 UTC | Channel Name: programming-chat | Channel ID: 741289136446636103 | Message ID: 745406875742371912 | Message Content: There we go
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-08-18 22:22 UTC | Channel Name: programming-chat | Channel ID: 741289136446636103 | Message ID: 745407365234425976 | Message Content: Na, I don't give a shit
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-08-18 22:22 UTC | Channel Name: programming-chat | Channel ID: 741289136446636103 | Message ID: 745407421962387508 | Message Content: This was just an experiment to show you how easy it can be
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-08-18 22:23 UTC | Channel Name: programming-chat | Channel ID: 741289136446636103 | Message ID: 745407456011616337 | Message Content: That link you clicked, isn't actually to the video (well it is)
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-08-18 22:23 UTC | Channel Name: programming-chat | Channel ID: 741289136446636103 | Message ID: 745407497522905231 | Message Content: It redirected from a website that can do that
