Author Name: kys.nataly | Author Nickname: None | Author ID: 743676397280821328 | Sent At: 2021-01-30 20:46:25 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805177124117545001 | Message Content: Call me sosa cuz the bitches love me😏
Author Name: kys.nataly | Author Nickname: None | Author ID: 743676397280821328 | Sent At: 2021-01-30 20:46:38 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805177175795957812 | Message Content: Anyways whatsup
Author Name: kys.nataly | Author Nickname: None | Author ID: 743676397280821328 | Sent At: 2021-01-30 20:48:48 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805177723311882302 | Message Content: Ayo
Author Name: kys.nataly | Author Nickname: None | Author ID: 743676397280821328 | Sent At: 2021-01-30 20:48:58 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805177765749850172 | Message Content: Proof?
Author Name: kys.nataly | Author Nickname: None | Author ID: 743676397280821328 | Sent At: 2021-01-30 20:49:21 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805177860540858429 | Message Content: LMAOOOO
Author Name: kys.nataly | Author Nickname: None | Author ID: 743676397280821328 | Sent At: 2021-01-30 20:50:01 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805178026895605790 | Message Content: Retard😭
Author Name: kys.nataly | Author Nickname: None | Author ID: 743676397280821328 | Sent At: 2021-01-30 20:50:26 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805178135347855380 | Message Content: Retard?
Author Name: kys.nataly | Author Nickname: None | Author ID: 743676397280821328 | Sent At: 2021-01-30 20:50:32 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805178159284748368 | Message Content: I’m dyslexic
Author Name: kys.nataly | Author Nickname: None | Author ID: 743676397280821328 | Sent At: 2021-01-30 20:50:36 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805178174849024061 | Message Content: I can say it
Author Name: kys.nataly | Author Nickname: None | Author ID: 743676397280821328 | Sent At: 2021-01-30 20:50:46 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805178218897604628 | Message Content: Yea don’t say retard
Author Name: kys.nataly | Author Nickname: None | Author ID: 743676397280821328 | Sent At: 2021-01-30 20:50:52 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805178243325493300 | Message Content: Retard is a bad word
Author Name: kys.nataly | Author Nickname: None | Author ID: 743676397280821328 | Sent At: 2021-01-30 20:51:24 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805178377547546624 | Message Content: How does retard make someone feel uncomfortable 😭
Author Name: kys.nataly | Author Nickname: None | Author ID: 743676397280821328 | Sent At: 2021-01-30 20:52:02 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805178537786474518 | Message Content: I’m not using it against you tho
Author Name: kys.nataly | Author Nickname: None | Author ID: 743676397280821328 | Sent At: 2021-01-30 20:52:53 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805178748856958986 | Message Content: A WORD TRIGGERING PANIC ATTACKS?
Author Name: kys.nataly | Author Nickname: None | Author ID: 743676397280821328 | Sent At: 2021-01-30 20:52:57 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805178765628932156 | Message Content: BRUH
Author Name: kys.nataly | Author Nickname: None | Author ID: 743676397280821328 | Sent At: 2021-01-30 20:52:59 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805178777114116106 | Message Content: LMAOOOOOO
Author Name: kys.nataly | Author Nickname: None | Author ID: 743676397280821328 | Sent At: 2021-01-30 20:53:31 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805178911155027979 | Message Content: Nah yall are just ❄️
Author Name: kys.nataly | Author Nickname: None | Author ID: 743676397280821328 | Sent At: 2021-01-30 20:53:41 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805178949998870548 | Message Content: I’m dyslexic 😎
