Author Name: Ducky 𓆏 | Author Nickname: None | Author ID: 597391214765015081 | Sent At: 2021-01-30 20:48:29 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805177640960000042 | Message Content: uh hi
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 20:48:32 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805177654071656459 | Message Content: call me huge cock because i have a huge cock😏
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 20:48:35 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805177666905964584 | Message Content: wassup guys
Author Name: Ducky 𓆏 | Author Nickname: None | Author ID: 597391214765015081 | Sent At: 2021-01-30 20:48:59 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805177770026991626 | Message Content: oh hey <@514835126220226580> ur online!! no more math??
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 20:49:14 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805177831264223232 | Message Content: what country flag is that in ur pfp?
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 20:49:24 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805177872276258856 | Message Content: u africa?
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 20:49:28 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805177889799929908 | Message Content: i’m being serious
Author Name: Ducky 𓆏 | Author Nickname: None | Author ID: 597391214765015081 | Sent At: 2021-01-30 20:49:33 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805177910162882650 | Message Content: I have a feeling that's sarcastic
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 20:49:38 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805177930627809383 | Message Content: i’ve never saw it
Author Name: Ducky 𓆏 | Author Nickname: None | Author ID: 597391214765015081 | Sent At: 2021-01-30 20:49:45 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805177962202660884 | Message Content: oh well, it's not a country flag
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 20:49:46 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805177964811649064 | Message Content: is it not a country?
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 20:49:49 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805177978115981333 | Message Content: oh
Author Name: Ducky 𓆏 | Author Nickname: None | Author ID: 597391214765015081 | Sent At: 2021-01-30 20:49:52 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805177991705002044 | Message Content: No
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 20:49:58 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805178014635655168 | Message Content: what is it then
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 20:50:05 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805178046512103454 | Message Content: shut up
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 20:50:10 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805178065251729428 | Message Content: what is it
Author Name: Ducky 𓆏 | Author Nickname: None | Author ID: 597391214765015081 | Sent At: 2021-01-30 20:50:11 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805178069635301407 | Message Content: Oh can we not use that word plz
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 20:50:17 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805178096180920320 | Message Content: retard?
