Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 20:50:25 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805178130544853023 | Message Content: yea nat don’t say retard
Author Name: Ducky 𓆏 | Author Nickname: None | Author ID: 597391214765015081 | Sent At: 2021-01-30 20:50:26 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805178133283995649 | Message Content: yeah that one
Author Name: Ducky 𓆏 | Author Nickname: None | Author ID: 597391214765015081 | Sent At: 2021-01-30 20:50:34 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805178168197513216 | Message Content: It's the gay flag
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 20:50:36 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805178176589398046 | Message Content: guys stop saying retard
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 20:50:45 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805178211213377546 | Message Content: where’s gay
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 20:50:47 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805178223130312735 | Message Content: nevermind
Author Name: Ducky 𓆏 | Author Nickname: None | Author ID: 597391214765015081 | Sent At: 2021-01-30 20:50:55 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805178253190365234 | Message Content: It still makes me really uncomfortable so could you please stop saying it
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 20:51:05 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805178295455973397 | Message Content: STOP SAYING RETARD
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 20:51:09 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805178315375640586 | Message Content: sorry ducky
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 20:51:28 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805178395386052658 | Message Content: what is the lgbtq thing again i forgot
Author Name: Ducky 𓆏 | Author Nickname: None | Author ID: 597391214765015081 | Sent At: 2021-01-30 20:51:40 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805178442030121000 | Message Content: It's been used against me before for a lot of reasons I'm not comfortable sharing
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 20:51:40 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805178442689544232 | Message Content: what do they stand for
Author Name: lotsorin | Author Nickname: Katy | Author ID: 405498995520176140 | Sent At: 2021-01-30 20:52:01 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805178533579980841 | Message Content: Its a rude word? Dhhs
Author Name: Ducky 𓆏 | Author Nickname: None | Author ID: 597391214765015081 | Sent At: 2021-01-30 20:52:05 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805178550499803136 | Message Content: Lesbian, Gay, Trans, Bisexual, and Questioning, but the Q is debated
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 20:52:18 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805178603645304832 | Message Content: questioning?
Author Name: Ducky 𓆏 | Author Nickname: None | Author ID: 597391214765015081 | Sent At: 2021-01-30 20:52:32 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805178660364746795 | Message Content: But I'm still uncomfortable with it as it can trigger panic attacks for me and my system so please don't say it again
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 20:52:54 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805178752438894592 | Message Content: what’s ur system
Author Name: Ducky 𓆏 | Author Nickname: None | Author ID: 597391214765015081 | Sent At: 2021-01-30 20:52:59 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805178776773722132 | Message Content: Yeah, but some people say that the Q is for Queer, which I think is cool, the abbreviation is just supposed to be general
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 20:53:02 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805178789326749767 | Message Content: https://tenor.com/view/retard-alert-south-park-gif-12254263
Author Name: Ariana Rose🥀🖤 | Author Nickname: None | Author ID: 722644971299143781 | Sent At: 2021-01-30 20:53:10 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805178821681610762 | Message Content: uh
Author Name: Ariana Rose🥀🖤 | Author Nickname: None | Author ID: 722644971299143781 | Sent At: 2021-01-30 20:53:14 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805178837028569128 | Message Content: that’s kinda rude
Author Name: Ducky 𓆏 | Author Nickname: None | Author ID: 597391214765015081 | Sent At: 2021-01-30 20:53:18 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805178853135614012 | Message Content: It's very rude
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 20:53:25 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805178884412407849 | Message Content: sorry i’m autistic
Author Name: Ariana Rose🥀🖤 | Author Nickname: None | Author ID: 722644971299143781 | Sent At: 2021-01-30 20:53:31 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805178908605546516 | Message Content: ducky has already asked you to stop
Author Name: Ducky 𓆏 | Author Nickname: None | Author ID: 597391214765015081 | Sent At: 2021-01-30 20:53:32 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805178912103596123 | Message Content: Yes words and phrases can trigger panic attacks
Author Name: Ducky 𓆏 | Author Nickname: None | Author ID: 597391214765015081 | Sent At: 2021-01-30 20:53:34 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805178921234333717 | Message Content: So am I
