Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2021-06-12 22:50:15 UTC | Channel Name: staffroom | Channel ID: 685919249864458386 | Message ID: 853405870770880543 | Message Content: either way
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2021-06-12 22:50:17 UTC | Channel Name: staffroom | Channel ID: 685919249864458386 | Message ID: 853405880183029791 | Message Content: yes, it's fine
Author Name: "Jasmine Rice" | Author Nickname: Jasmine (jasper/has) | Author ID: 514835126220226580 | Sent At: 2021-06-12 22:50:25 UTC | Channel Name: staffroom | Channel ID: 685919249864458386 | Message ID: 853405913612288010 | Message Content: okay
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2021-06-12 22:50:25 UTC | Channel Name: staffroom | Channel ID: 685919249864458386 | Message ID: 853405914768867359 | Message Content: I'll just be surprised if you figure out how to use it
Author Name: "Jasmine Rice" | Author Nickname: Jasmine (jasper/has) | Author ID: 514835126220226580 | Sent At: 2021-06-12 22:50:28 UTC | Channel Name: staffroom | Channel ID: 685919249864458386 | Message ID: 853405927185317898 | Message Content: nice
Author Name: "Jasmine Rice" | Author Nickname: Jasmine (jasper/has) | Author ID: 514835126220226580 | Sent At: 2021-06-12 22:50:37 UTC | Channel Name: staffroom | Channel ID: 685919249864458386 | Message ID: 853405966404681728 | Message Content: i got some other texture back and i don't like it
Author Name: "Jasmine Rice" | Author Nickname: Jasmine (jasper/has) | Author ID: 514835126220226580 | Sent At: 2021-06-12 22:50:41 UTC | Channel Name: staffroom | Channel ID: 685919249864458386 | Message ID: 853405983241535528 | Message Content: everything is weird
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2021-06-12 22:51:25 UTC | Channel Name: staffroom | Channel ID: 685919249864458386 | Message ID: 853406167660363817 | Message Content: Stratum is good, my recommendation
Author Name: "Jasmine Rice" | Author Nickname: Jasmine (jasper/has) | Author ID: 514835126220226580 | Sent At: 2021-06-12 22:52:19 UTC | Channel Name: staffroom | Channel ID: 685919249864458386 | Message ID: 853406393389285456 | Message Content: wait
Author Name: "Jasmine Rice" | Author Nickname: Jasmine (jasper/has) | Author ID: 514835126220226580 | Sent At: 2021-06-12 22:52:26 UTC | Channel Name: staffroom | Channel ID: 685919249864458386 | Message ID: 853406423005790208 | Message Content: is optifine not a resource pack
Author Name: "Jasmine Rice" | Author Nickname: Jasmine (jasper/has) | Author ID: 514835126220226580 | Sent At: 2021-06-12 22:52:29 UTC | Channel Name: staffroom | Channel ID: 685919249864458386 | Message ID: 853406436506730536 | Message Content: how do i
