Author Name: "Jasmine Rice" | Author Nickname: Jasmine (jasper/has) | Author ID: 514835126220226580 | Sent At: 2021-06-12 22:54:08 UTC | Channel Name: staffroom | Channel ID: 685919249864458386 | Message ID: 853406850644443138 | Message Content: done
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2021-06-12 22:54:11 UTC | Channel Name: staffroom | Channel ID: 685919249864458386 | Message ID: 853406864251027456 | Message Content: run the file
Author Name: "Jasmine Rice" | Author Nickname: Jasmine (jasper/has) | Author ID: 514835126220226580 | Sent At: 2021-06-12 22:54:16 UTC | Channel Name: staffroom | Channel ID: 685919249864458386 | Message ID: 853406884400988192 | Message Content: so
Author Name: "Jasmine Rice" | Author Nickname: Jasmine (jasper/has) | Author ID: 514835126220226580 | Sent At: 2021-06-12 22:54:18 UTC | Channel Name: staffroom | Channel ID: 685919249864458386 | Message ID: 853406892189548605 | Message Content: open it?
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2021-06-12 22:54:20 UTC | Channel Name: staffroom | Channel ID: 685919249864458386 | Message ID: 853406899142787082 | Message Content: yes
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2021-06-12 22:54:33 UTC | Channel Name: staffroom | Channel ID: 685919249864458386 | Message ID: 853406952550170646 | Message Content: a window should pop up with a multiple choice selector and a path
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2021-06-12 22:54:40 UTC | Channel Name: staffroom | Channel ID: 685919249864458386 | Message ID: 853406984844607536 | Message Content: select client and make sure the path is where you have minecraft installed
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2021-06-12 22:54:54 UTC | Channel Name: staffroom | Channel ID: 685919249864458386 | Message ID: 853407041417904130 | Message Content: before you click install, are you sure you want to do this?
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2021-06-12 22:55:19 UTC | Channel Name: staffroom | Channel ID: 685919249864458386 | Message ID: 853407146762174464 | Message Content: This will mod your minecraft client and while it is safe, people who don't know how to use it won't be able to solve issues
Author Name: "Jasmine Rice" | Author Nickname: Jasmine (jasper/has) | Author ID: 514835126220226580 | Sent At: 2021-06-12 22:56:21 UTC | Channel Name: staffroom | Channel ID: 685919249864458386 | Message ID: 853407409401233448 | Message Content: hold on
Author Name: "Jasmine Rice" | Author Nickname: Jasmine (jasper/has) | Author ID: 514835126220226580 | Sent At: 2021-06-12 22:56:26 UTC | Channel Name: staffroom | Channel ID: 685919249864458386 | Message ID: 853407426622390272 | Message Content: i can't find it
