Author Name: Elevator Logger | Author Nickname: MegaLogger (sl!) | Author ID: 733474240854097920 | Sent At: 2021-03-29 22:01:35 UTC | Channel Name: log-hell | Channel ID: 725438062296826027 | Message ID: 826214536813215784 | Message Content: 
Author Name: Elevator Logger | Author Nickname: MegaLogger (sl!) | Author ID: 733474240854097920 | Sent At: 2021-03-29 22:01:42 UTC | Channel Name: log-hell | Channel ID: 725438062296826027 | Message ID: 826214566069272606 | Message Content: 
Author Name: Elevator Logger | Author Nickname: MegaLogger (sl!) | Author ID: 733474240854097920 | Sent At: 2021-03-29 22:01:49 UTC | Channel Name: log-hell | Channel ID: 725438062296826027 | Message ID: 826214593201963019 | Message Content: 
Author Name: Elevator Logger | Author Nickname: MegaLogger (sl!) | Author ID: 733474240854097920 | Sent At: 2021-03-29 22:01:51 UTC | Channel Name: log-hell | Channel ID: 725438062296826027 | Message ID: 826214602785423381 | Message Content: 
Author Name: Elevator Logger | Author Nickname: MegaLogger (sl!) | Author ID: 733474240854097920 | Sent At: 2021-03-29 22:04:57 UTC | Channel Name: log-hell | Channel ID: 725438062296826027 | Message ID: 826215384276795393 | Message Content: 
Author Name: Elevator Logger | Author Nickname: MegaLogger (sl!) | Author ID: 733474240854097920 | Sent At: 2021-03-29 22:05:55 UTC | Channel Name: log-hell | Channel ID: 725438062296826027 | Message ID: 826215624454832148 | Message Content: 
Author Name: Elevator Logger | Author Nickname: MegaLogger (sl!) | Author ID: 733474240854097920 | Sent At: 2021-03-29 22:07:41 UTC | Channel Name: log-hell | Channel ID: 725438062296826027 | Message ID: 826216070565724181 | Message Content: 
Author Name: Elevator Logger | Author Nickname: MegaLogger (sl!) | Author ID: 733474240854097920 | Sent At: 2021-03-29 22:08:08 UTC | Channel Name: log-hell | Channel ID: 725438062296826027 | Message ID: 826216184927748116 | Message Content: 
Author Name: Elevator Logger | Author Nickname: MegaLogger (sl!) | Author ID: 733474240854097920 | Sent At: 2021-03-29 22:09:15 UTC | Channel Name: log-hell | Channel ID: 725438062296826027 | Message ID: 826216463806234704 | Message Content: 
Author Name: Elevator Logger | Author Nickname: MegaLogger (sl!) | Author ID: 733474240854097920 | Sent At: 2021-03-29 22:10:41 UTC | Channel Name: log-hell | Channel ID: 725438062296826027 | Message ID: 826216825070551080 | Message Content: 
Author Name: Elevator Logger | Author Nickname: MegaLogger (sl!) | Author ID: 733474240854097920 | Sent At: 2021-03-29 22:10:50 UTC | Channel Name: log-hell | Channel ID: 725438062296826027 | Message ID: 826216861800464414 | Message Content: 
Author Name: Elevator Logger | Author Nickname: MegaLogger (sl!) | Author ID: 733474240854097920 | Sent At: 2021-03-29 22:11:36 UTC | Channel Name: log-hell | Channel ID: 725438062296826027 | Message ID: 826217053823303700 | Message Content: 
