Author Name: ZxPapinhasxZ | Author Nickname: None | Author ID: 260188593149050880 | Sent At: 2020-11-30 01:00:01 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782772895780700191 | Message Content: <:KannaPeek:772098429497245726>
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-11-30 01:00:02 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782772899055534100 | Message Content: pls disable rob
Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:00:02 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782772900071342111 | Message Content: The following commands/categories have been disabled successfully:

`steal`

**Handy Dandy Tip**: Did you know we have a website? <https://dankmemer.lol/>
Author Name: ZxPapinhasxZ | Author Nickname: None | Author ID: 260188593149050880 | Sent At: 2020-11-30 01:00:02 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782772900436508693 | Message Content: woah
Author Name: ZxPapinhasxZ | Author Nickname: None | Author ID: 260188593149050880 | Sent At: 2020-11-30 01:00:04 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782772909340229702 | Message Content: nuuu
Author Name: ZxPapinhasxZ | Author Nickname: None | Author ID: 260188593149050880 | Sent At: 2020-11-30 01:00:06 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782772914691768330 | Message Content: xDD
Author Name: BlaZe | Author Nickname: None | Author ID: 540303024078192661 | Sent At: 2020-11-30 01:00:06 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782772917233909772 | Message Content: Oop
Author Name: ZxPapinhasxZ | Author Nickname: None | Author ID: 260188593149050880 | Sent At: 2020-11-30 01:00:08 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782772926432411668 | Message Content: wait do that again
Author Name: ZxPapinhasxZ | Author Nickname: None | Author ID: 260188593149050880 | Sent At: 2020-11-30 01:00:09 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782772929829928981 | Message Content: real quick
Author Name: ZxPapinhasxZ | Author Nickname: None | Author ID: 260188593149050880 | Sent At: 2020-11-30 01:00:10 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782772933436375042 | Message Content: pls use be
Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:00:11 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782772936107884551 | Message Content: 
Author Name: ZxPapinhasxZ | Author Nickname: None | Author ID: 260188593149050880 | Sent At: 2020-11-30 01:00:13 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782772947571441675 | Message Content: pls with 1000
Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:00:15 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782772953091145748 | Message Content: 1000 coins withdrawn.
Author Name: ZxPapinhasxZ | Author Nickname: None | Author ID: 260188593149050880 | Sent At: 2020-11-30 01:00:23 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782772987026997310 | Message Content: real quicky
Author Name: BlaZe | Author Nickname: None | Author ID: 540303024078192661 | Sent At: 2020-11-30 01:00:35 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782773036898189385 | Message Content: For the one time
Author Name: ZxPapinhasxZ | Author Nickname: None | Author ID: 260188593149050880 | Sent At: 2020-11-30 01:00:42 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782773065918054420 | Message Content: im not even gonna rob u
Author Name: ZxPapinhasxZ | Author Nickname: None | Author ID: 260188593149050880 | Sent At: 2020-11-30 01:00:45 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782773081851691009 | Message Content: pls bal Hibiki#3815
Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:00:46 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782773084356214794 | Message Content: 
