Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:07:29 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774774026862592 | Message Content: Who do you want to give your 'little pink surprise' to? You have 30 seconds to respond with a valid user.
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-11-30 01:07:29 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774776468602900 | Message Content: <@540303024078192661>
Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:07:30 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774777478774826 | Message Content: Alright, BlaZe is gonna be in for a treat when they check their inventory :flushed:
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-11-30 01:07:34 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774797305118780 | Message Content: pls use phallic
Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:07:35 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774798140833844 | Message Content: Who do you want to give your 'little pink surprise' to? You have 30 seconds to respond with a valid user.
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-11-30 01:07:35 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774800732389376 | Message Content: <@540303024078192661>
Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:07:36 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774802565169152 | Message Content: Alright, BlaZe is gonna be in for a treat when they check their inventory :flushed:
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-11-30 01:07:40 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774821862768651 | Message Content: pls use phallic
Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:07:40 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774822362415116 | Message Content: Who do you want to give your 'little pink surprise' to? You have 30 seconds to respond with a valid user.
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-11-30 01:07:41 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774826389471232 | Message Content: <@540303024078192661>
Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:07:42 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774827650908160 | Message Content: Alright, BlaZe is gonna be in for a treat when they check their inventory :flushed:
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-11-30 01:07:46 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774846173609984 | Message Content: pls use phallic
Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:07:46 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774847041699841 | Message Content: Who do you want to give your 'little pink surprise' to? You have 30 seconds to respond with a valid user.
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-11-30 01:07:47 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774848618627124 | Message Content: This is gonna take a while
Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:07:47 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774849579253820 | Message Content: You gotta mention an actual user otherwise I'm gonna shove that thing right up your shitter mate
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-11-30 01:07:47 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774849680048169 | Message Content: <@540303024078192661>
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-11-30 01:07:52 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774870525739010 | Message Content: pls use phallic
Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:07:52 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774871696080917 | Message Content: Who do you want to give your 'little pink surprise' to? You have 30 seconds to respond with a valid user.
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-11-30 01:07:53 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774874389217281 | Message Content: <@540303024078192661>
Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:07:53 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774876175597608 | Message Content: Alright, BlaZe is gonna be in for a treat when they check their inventory :flushed:
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-11-30 01:07:58 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774895046033429 | Message Content: pls use phallic
Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:07:58 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774895863136300 | Message Content: Who do you want to give your 'little pink surprise' to? You have 30 seconds to respond with a valid user.
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-11-30 01:07:59 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774898988023888 | Message Content: <@540303024078192661>
Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:07:59 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774899885735968 | Message Content: Alright, BlaZe is gonna be in for a treat when they check their inventory :flushed:
Author Name: "Jasmine Rice" | Author Nickname: Jasmine (jasper) | Author ID: 514835126220226580 | Sent At: 2020-11-30 01:08:03 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774918243811338 | Message Content: OI OI
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-11-30 01:08:04 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774919796621322 | Message Content: pls use phallic
Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:08:04 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774920669167616 | Message Content: Who do you want to give your 'little pink surprise' to? You have 30 seconds to respond with a valid user.
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-11-30 01:08:05 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774923541741568 | Message Content: <@540303024078192661>
Author Name: "Jasmine Rice" | Author Nickname: Jasmine (jasper) | Author ID: 514835126220226580 | Sent At: 2020-11-30 01:08:05 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774924891652096 | Message Content: Chill
Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:08:05 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774924904235058 | Message Content: Alright, BlaZe is gonna be in for a treat when they check their inventory :flushed:
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-11-30 01:08:09 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774944072466443 | Message Content: pls use phallic
Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:08:10 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774945712701491 | Message Content: Who do you want to give your 'little pink surprise' to? You have 30 seconds to respond with a valid user.
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-11-30 01:08:10 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774948145135647 | Message Content: <@540303024078192661>
Author Name: "Jasmine Rice" | Author Nickname: Jasmine (jasper) | Author ID: 514835126220226580 | Sent At: 2020-11-30 01:08:11 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774949466996767 | Message Content: Nobody needs that many
Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:08:11 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774949407490080 | Message Content: Alright, BlaZe is gonna be in for a treat when they check their inventory :flushed:
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-11-30 01:08:13 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774960586227714 | Message Content: I did warn them
Author Name: BlaZe | Author Nickname: None | Author ID: 540303024078192661 | Sent At: 2020-11-30 01:08:15 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774967594254376 | Message Content: Pls level BLANK#7086
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-11-30 01:08:15 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774968941019137 | Message Content: pls use phallic
Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:08:15 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774969091883069 | Message Content: 
Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:08:16 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774970584793119 | Message Content: Who do you want to give your 'little pink surprise' to? You have 30 seconds to respond with a valid user.
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-11-30 01:08:16 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774972930064455 | Message Content: <@540303024078192661>
Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:08:17 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774974049812541 | Message Content: Alright, BlaZe is gonna be in for a treat when they check their inventory :flushed:
Author Name: "Jasmine Rice" | Author Nickname: Jasmine (jasper) | Author ID: 514835126220226580 | Sent At: 2020-11-30 01:08:17 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774977841463306 | Message Content: pls enable rob
Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:08:18 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774978562228244 | Message Content: The following commands/categories have been enabled successfully:

`steal`
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-11-30 01:08:21 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774993146740757 | Message Content: pls use phallic
