Author Name: Rick Astley | Author Nickname: None | Author ID: 660712718600372226 | Sent At: 2020-10-23 19:26:34 UTC | Channel Name: interrogation | Channel ID: 737872700445294632 | Message ID: 769280630110027796 | Message Content: id didnt work
Author Name: Rick Astley | Author Nickname: None | Author ID: 660712718600372226 | Sent At: 2020-10-23 19:26:40 UTC | Channel Name: interrogation | Channel ID: 737872700445294632 | Message ID: 769280655376646155 | Message Content: it
Author Name: o_H_m_Y_. | Author Nickname: None | Author ID: 636011434060546050 | Sent At: 2020-10-23 19:26:50 UTC | Channel Name: interrogation | Channel ID: 737872700445294632 | Message ID: 769280697252708452 | Message Content: Double lines dimwit
Author Name: Rick Astley | Author Nickname: None | Author ID: 660712718600372226 | Sent At: 2020-10-23 19:26:55 UTC | Channel Name: interrogation | Channel ID: 737872700445294632 | Message ID: 769280715459919892 | Message Content: oh
Author Name: Rick Astley | Author Nickname: None | Author ID: 660712718600372226 | Sent At: 2020-10-23 19:27:03 UTC | Channel Name: interrogation | Channel ID: 737872700445294632 | Message ID: 769280752356556831 | Message Content: oh ||god||
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-10-23 19:27:19 UTC | Channel Name: interrogation | Channel ID: 737872700445294632 | Message ID: 769280816953950229 | Message Content: Lol
Author Name: Rick Astley | Author Nickname: None | Author ID: 660712718600372226 | Sent At: 2020-10-23 19:27:37 UTC | Channel Name: interrogation | Channel ID: 737872700445294632 | Message ID: 769280893725442069 | Message Content: uwu <@!636011434060546050> plwees downt cawl mwe a dwimwit
Author Name: o_H_m_Y_. | Author Nickname: None | Author ID: 636011434060546050 | Sent At: 2020-10-23 19:28:41 UTC | Channel Name: interrogation | Channel ID: 737872700445294632 | Message ID: 769281161285206027 | Message Content: then spell properly-
Author Name: Rick Astley | Author Nickname: None | Author ID: 660712718600372226 | Sent At: 2020-10-23 19:28:48 UTC | Channel Name: interrogation | Channel ID: 737872700445294632 | Message ID: 769281190166528020 | Message Content: ok i will
Author Name: atlas | Author Nickname: atlas | Author ID: 639960189377708047 | Sent At: 2020-10-23 19:28:54 UTC | Channel Name: interrogation | Channel ID: 737872700445294632 | Message ID: 769281217543536651 | Message Content: that was fast
Author Name: Rick Astley | Author Nickname: None | Author ID: 660712718600372226 | Sent At: 2020-10-23 19:29:16 UTC | Channel Name: interrogation | Channel ID: 737872700445294632 | Message ID: 769281307338604665 | Message Content: Can you please tell me how I escape this inferno of torment.
Author Name: atlas | Author Nickname: atlas | Author ID: 639960189377708047 | Sent At: 2020-10-23 19:29:33 UTC | Channel Name: interrogation | Channel ID: 737872700445294632 | Message ID: 769281381405950032 | Message Content: whats so scary here?
Author Name: o_H_m_Y_. | Author Nickname: None | Author ID: 636011434060546050 | Sent At: 2020-10-23 19:29:35 UTC | Channel Name: interrogation | Channel ID: 737872700445294632 | Message ID: 769281386506092614 | Message Content: You can’t pEriOdt
Author Name: "Jasmine Rice" | Author Nickname: Jasmine (jasper) | Author ID: 514835126220226580 | Sent At: 2020-10-23 19:29:41 UTC | Channel Name: interrogation | Channel ID: 737872700445294632 | Message ID: 769281412217438229 | Message Content: periodt
