Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:27:45 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700277342797827 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:27:45 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700280521162792 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:27:46 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700283549843456 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:27:47 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700286523342878 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:27:47 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700289128398849 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:27:48 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700291887988777 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:27:49 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700295222853665 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:27:52 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700307462226030 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:27:52 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700307528548390 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:27:52 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700308275920897 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:27:55 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700321609089074 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:27:56 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700324847484989 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:27:57 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700328248147998 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:27:57 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700331239342091 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:27:58 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700335178055700 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:27:59 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700337870536756 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:28:02 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700349853663252 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:28:02 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700350294065152 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:28:02 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700350754652201 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:28:03 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700353066893324 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:28:04 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700357679972383 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:28:04 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700360280834099 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:28:05 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700363653054467 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:28:06 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700366492205087 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:28:07 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700370401427497 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:28:08 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700373803139102 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:28:12 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700391981121547 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:28:12 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700392710799362 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:28:12 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700393138356276 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:28:12 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700394015883339 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:28:12 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700394564288522 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:28:13 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700395026317342 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:28:13 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700395953651712 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:28:13 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700398641676300 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:28:22 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700436385693717 | Message Content: oof
